date,open,high,close,low,volume,amount
2012-12-31,8.89,8.94,8.91,8.81,3733847.0,34039120.0
2012-12-28,8.94,8.94,8.89,8.73,6731546.0,61158772.0
2012-12-27,9.27,9.42,8.96,8.96,6578610.0,61664968.0
2012-12-26,9.1,9.4,9.33,9.03,8896087.0,84143184.0
2012-12-25,8.89,9.12,9.1,8.84,5780478.0,53575176.0
2012-12-24,8.9,9.12,8.96,8.81,6781826.0,62521416.0
2012-12-21,8.93,9.06,8.97,8.79,3962518.0,36303196.0
2012-12-20,8.67,8.96,8.93,8.64,4435382.0,40146108.0
2012-12-19,8.71,8.85,8.73,8.68,2830229.0,25456466.0
2012-12-18,8.85,9.0,8.74,8.72,8454642.0,76770912.0
2012-12-17,8.59,9.12,9.02,8.51,12111166.0,109097960.0
2012-12-14,8.03,8.57,8.57,8.03,6824658.0,58331812.0
2012-12-13,7.99,8.23,8.08,7.99,2507476.0,20847274.0
2012-12-12,8.09,8.14,8.04,7.94,1977921.0,16300282.0
2012-12-11,8.18,8.28,8.12,8.07,2384576.0,19948096.0
2012-12-10,8.1,8.24,8.22,8.03,3117152.0,26121158.0
2012-12-07,7.8,8.13,8.1,7.8,2876616.0,23631678.0
2012-12-06,7.9,7.92,7.83,7.81,1506373.0,12149712.0
2012-12-05,7.64,7.99,7.93,7.62,2835277.0,22934670.0
2012-12-04,7.45,7.69,7.68,7.45,1318510.0,10255455.0
2012-12-03,7.64,7.66,7.45,7.45,1281769.0,9904990.0
2012-11-30,7.6,7.71,7.64,7.56,1009153.0,7921143.0
2012-11-29,7.61,7.68,7.57,7.54,1042597.0,8145242.0
2012-11-28,7.65,7.7,7.61,7.52,1468852.0,11466260.0
2012-11-27,8.11,8.11,7.72,7.68,2656212.0,21402694.0
2012-11-26,8.36,8.41,8.13,8.12,1880231.0,15897702.0
2012-11-23,8.41,8.47,8.38,8.33,1951396.0,16826638.0
2012-11-22,8.47,8.49,8.36,8.33,2831385.0,24437492.0
2012-11-21,8.16,8.8,8.56,8.16,6657007.0,58273888.0
2012-11-20,8.19,8.21,8.06,8.04,976402.0,8146674.0
2012-11-19,8.07,8.16,8.16,7.98,904471.0,7513246.0
2012-11-16,8.1,8.17,8.08,8.04,1004767.0,8343469.0
2012-11-15,8.33,8.38,8.14,8.13,1109539.0,9411220.0
