date,open,high,close,low,volume,amount
2013-12-31,9.67,9.82,9.8,9.62,4187886.0,42271136.0
2013-12-30,9.79,9.85,9.72,9.64,5363386.0,53920968.0
2013-12-27,9.76,9.86,9.74,9.61,13856750.0,139546688.0
2013-12-26,10.05,10.08,9.69,9.57,17719140.0,179074992.0
2013-12-25,10.24,10.31,10.04,10.0,9093233.0,94982192.0
2013-12-24,10.22,10.42,10.24,10.13,5661100.0,60181472.0
2013-12-23,10.36,10.36,10.21,10.04,6551118.0,69053512.0
2013-12-20,10.42,10.43,10.29,10.21,9919752.0,105755280.0
2013-12-19,10.48,10.62,10.38,10.24,9796972.0,105586768.0
2013-12-18,10.43,10.45,10.41,10.25,5489612.0,59002780.0
2013-12-17,10.46,10.5,10.41,10.24,8811887.0,94503672.0
2013-12-16,10.78,10.85,10.5,10.42,26471316.0,288845632.0
2013-12-13,10.72,10.89,10.78,10.7,7934251.0,88589376.0
2013-12-12,10.74,10.8,10.73,10.69,6187895.0,68947840.0
2013-12-11,10.92,10.96,10.74,10.6,11210555.0,124639568.0
2013-12-10,10.81,11.08,10.91,10.73,11121614.0,125585976.0
2013-12-09,10.82,10.91,10.82,10.73,8197935.0,91890136.0
2013-12-06,10.85,10.9,10.75,10.7,11026439.0,122782720.0
2013-12-05,10.67,10.94,10.77,10.64,26562148.0,296613184.0
2013-12-04,10.25,10.77,10.69,10.24,33810116.0,372197280.0
2013-12-03,9.98,10.29,10.25,9.98,19537890.0,206411696.0
2013-12-02,9.86,10.13,9.99,9.85,14417114.0,149416496.0
2013-11-29,10.12,10.18,10.02,9.95,7836936.0,81261920.0
2013-11-28,9.86,10.24,10.12,9.86,13845047.0,144237088.0
2013-11-27,9.86,9.92,9.88,9.7,8205570.0,83614776.0
2013-11-26,9.77,9.93,9.81,9.74,6989501.0,71035376.0
2013-11-25,9.94,10.07,9.81,9.8,9929108.0,101642128.0
2013-11-22,10.13,10.15,10.01,9.9,7262012.0,75186528.0
2013-11-21,10.25,10.25,10.11,10.06,9532862.0,99718088.0
2013-11-20,10.15,10.29,10.25,10.08,10325213.0,108790856.0
2013-11-19,10.21,10.26,10.13,10.03,13391271.0,140867952.0
2013-11-18,10.01,10.26,10.21,10.0,17947268.0,189202000.0
2013-11-15,9.76,10.36,10.0,9.74,30739262.0,322644288.0
2013-11-14,9.3,9.8,9.78,9.13,15639501.0,154128000.0
2013-11-13,9.43,9.48,9.22,9.06,17590288.0,169009264.0
2013-11-12,9.64,9.66,9.5,9.48,7660518.0,75717984.0
2013-11-11,9.43,9.6,9.55,9.39,4035939.0,39722588.0
2013-11-08,9.61,9.74,9.43,9.37,12712774.0,125103232.0
2013-11-07,9.72,9.74,9.61,9.57,6001435.0,59873348.0
2013-11-06,9.94,9.98,9.68,9.53,23046260.0,231494496.0
2013-11-05,10.07,10.08,9.95,9.88,23106196.0,238080736.0
2013-11-04,10.14,10.32,10.11,10.01,17263632.0,182362784.0
2013-11-01,10.0,10.26,10.04,9.94,12264794.0,128257520.0
2013-10-31,10.15,10.16,9.93,9.86,8775771.0,90735576.0
2013-10-30,9.82,10.24,10.14,9.73,20776692.0,216691952.0
2013-10-29,9.84,10.21,9.78,9.49,27610504.0,282155648.0
2013-10-28,10.06,10.12,9.85,9.78,10765515.0,109987848.0
2013-10-25,10.24,10.33,10.06,9.97,23666108.0,247899312.0
2013-10-24,9.71,10.28,10.26,9.64,28405660.0,296984352.0
2013-10-23,9.67,9.94,9.71,9.55,13599067.0,137571744.0
2013-10-22,9.98,10.1,9.67,9.63,15844770.0,160513904.0
2013-10-21,9.8,10.1,10.03,9.61,11614321.0,119031536.0
2013-10-18,9.9,9.9,9.78,9.66,11867788.0,120006912.0
2013-10-17,9.9,10.02,9.87,9.69,17397196.0,176702464.0
2013-10-16,10.14,10.17,9.86,9.78,18918780.0,194303024.0
2013-10-15,10.34,10.36,10.19,9.97,18315650.0,192304032.0
2013-10-14,10.05,10.57,10.37,10.01,50046860.0,540855808.0
2013-10-11,9.69,10.15,10.06,9.68,36793088.0,380041696.0
2013-10-10,9.24,9.76,9.68,9.19,32188766.0,319193856.0
2013-10-09,9.12,9.27,9.22,9.08,14315242.0,136136496.0
2013-10-08,8.99,9.1,9.1,8.88,8289883.0,77576208.0
2013-09-30,8.99,9.07,8.99,8.93,4444954.0,41283132.0
2013-09-27,9.0,9.04,8.93,8.91,5918671.0,54827408.0
2013-09-26,8.97,9.18,9.04,8.82,17174988.0,160007072.0
2013-09-25,9.1,9.29,8.99,8.95,11696817.0,110543400.0
2013-09-24,9.1,9.17,9.14,8.92,10311554.0,96636160.0
2013-09-23,8.89,9.18,9.15,8.88,16095304.0,151458320.0
2013-09-18,8.98,8.98,8.88,8.79,7538955.0,69180144.0
2013-09-17,8.81,9.11,8.94,8.81,33396516.0,309906496.0
2013-09-16,8.98,9.03,8.8,8.78,10987306.0,100709656.0
2013-09-13,9.13,9.17,8.96,8.92,9546205.0,89275568.0
2013-09-12,9.11,9.11,9.07,8.96,12332021.0,115199288.0
2013-09-11,9.09,9.23,9.07,9.02,19283640.0,182202912.0
2013-09-10,8.97,9.13,9.07,8.84,15066063.0,140343264.0
2013-09-09,8.86,9.06,8.94,8.79,20050746.0,185930848.0
2013-09-06,8.74,8.88,8.84,8.71,14197827.0,129267848.0
2013-09-05,8.82,8.91,8.76,8.72,11117232.0,101513920.0
2013-09-04,8.91,9.0,8.85,8.8,8934748.0,82042000.0
2013-09-03,8.79,8.99,8.94,8.75,14256159.0,131251600.0
2013-09-02,8.79,8.85,8.79,8.6,13377521.0,120625336.0
2013-08-30,8.81,8.93,8.77,8.72,11902752.0,108381304.0
2013-08-29,9.02,9.02,8.78,8.75,14475656.0,132168400.0
2013-08-28,9.05,9.12,9.02,8.92,13657616.0,127456936.0
2013-08-27,9.07,9.31,9.13,9.03,22361660.0,213109024.0
2013-08-26,8.71,9.09,9.07,8.67,26284104.0,245044464.0
2013-08-23,8.81,8.84,8.76,8.57,13022399.0,117778224.0
2013-08-22,8.9,8.94,8.78,8.76,11313715.0,103314544.0
2013-08-21,8.83,9.06,8.89,8.8,21016084.0,193741088.0
2013-08-20,9.03,9.07,8.86,8.78,25763664.0,238065312.0
2013-08-19,8.73,9.2,9.09,8.63,35483732.0,329583904.0
2013-08-16,8.91,9.54,8.85,8.81,65609264.0,617104896.0
2013-08-15,8.84,9.28,8.91,8.6,112154912.0,1041450048.0
2013-08-14,8.57,8.57,8.57,8.57,12312361.0,109210640.0
2013-08-13,7.77,7.8,7.79,7.69,8191389.0,65598468.0
2013-08-12,7.72,7.8,7.75,7.65,11619706.0,92873408.0
2013-08-09,7.62,7.72,7.65,7.53,10165075.0,80386544.0
2013-08-08,7.55,7.68,7.59,7.53,10123667.0,79776224.0
2013-08-07,7.64,7.75,7.56,7.54,12698406.0,100474056.0
2013-08-06,7.44,7.81,7.7,7.39,28323084.0,223370960.0
2013-08-05,7.21,7.51,7.46,7.19,15340511.0,116668176.0
2013-08-02,7.23,7.28,7.21,7.17,10313047.0,77163336.0
2013-08-01,7.12,7.22,7.21,7.08,10348519.0,76565104.0
2013-07-31,7.11,7.19,7.1,7.07,6901289.0,50821200.0
2013-07-30,7.08,7.22,7.09,7.07,7101556.0,52370104.0
2013-07-29,7.16,7.19,7.08,7.07,5610239.0,41294288.0
2013-07-26,7.16,7.26,7.22,7.11,4701256.0,34917864.0
2013-07-25,7.32,7.36,7.19,7.18,9129788.0,68333760.0
2013-07-24,7.32,7.34,7.31,7.16,8044186.0,60507796.0
2013-07-23,7.25,7.39,7.35,7.19,11960512.0,90482280.0
2013-07-22,7.09,7.29,7.24,7.01,5938134.0,43906340.0
2013-07-19,7.26,7.3,7.08,7.06,9016028.0,67125816.0
2013-07-18,7.36,7.4,7.26,7.24,9498127.0,71695760.0
2013-07-17,7.49,7.55,7.37,7.36,9523551.0,73440448.0
2013-07-16,7.4,7.53,7.52,7.35,10781472.0,83285552.0
2013-07-15,7.38,7.51,7.42,7.36,7727567.0,59529544.0
2013-07-12,7.53,7.55,7.31,7.3,14677281.0,112651304.0
2013-07-11,7.24,7.57,7.49,7.21,15064322.0,116032720.0
2013-07-10,7.03,7.25,7.24,7.01,8252002.0,60949352.0
2013-07-09,7.05,7.12,7.03,6.96,8822025.0,64100108.0
2013-07-08,7.32,7.35,7.05,7.04,10379148.0,77036568.0
2013-07-05,7.39,7.42,7.35,7.29,11273215.0,90169008.0
2013-07-04,7.28,7.42,7.37,7.23,12203613.0,97529600.0
2013-07-03,7.22,7.34,7.29,7.2,13243095.0,104617560.0
2013-07-02,7.15,7.29,7.28,7.1,16377480.0,128206056.0
2013-07-01,7.16,7.24,7.12,6.99,17448744.0,134553088.0
2013-06-28,7.14,7.3,7.17,7.0,21061742.0,164592352.0
2013-06-27,7.27,7.34,7.16,7.08,24533164.0,192176256.0
2013-06-26,7.37,7.4,7.23,7.19,15441071.0,122258008.0
2013-06-25,7.31,7.43,7.37,6.9,19918176.0,156302992.0
2013-06-24,7.72,7.79,7.36,7.31,14463567.0,117441600.0
2013-06-21,7.68,7.79,7.74,7.55,10837829.0,90639112.0
2013-06-20,7.78,7.81,7.72,7.7,9398619.0,79250960.0
2013-06-19,7.97,7.97,7.82,7.72,15656498.0,133201656.0
2013-06-18,8.0,8.06,7.97,7.91,14760241.0,127932152.0
2013-06-17,8.09,8.12,7.97,7.96,13517932.0,118078784.0
2013-06-14,8.11,8.13,8.09,8.01,15169689.0,133199120.0
2013-06-13,8.3,8.3,8.07,8.0,25211952.0,221869664.0
2013-06-07,8.62,8.64,8.41,8.37,14132241.0,130115064.0
2013-06-06,8.63,8.75,8.58,8.57,14055836.0,132600520.0
2013-06-05,8.64,8.66,8.66,8.55,12818461.0,120095512.0
